ticker,t0,fwd_max_ret
4168.T,2023-03-06,1.027
4168.T,2025-04-07,1.175
4170.T,2022-02-21,1.045
4169.T,2022-03-28,1.0
4169.T,2024-07-02,1.355
4179.T,2025-04-07,1.014
4176.T,2025-04-01,1.015
4182.T,2025-11-11,1.086
4180.T,2022-05-12,1.126
4186.T,2025-08-01,1.049
4194.T,2022-06-13,1.054
4192.T,2022-05-17,1.072
4199.T,2025-10-09,1.023
4222.T,2025-02-12,1.562
4222.T,2025-09-30,1.001
4240.T,2025-04-07,1.005
4235.T,2022-03-04,1.143
4258.T,2024-03-14,1.019
4258.T,2025-01-17,1.006
4264.T,2023-05-17,1.136
4264.T,2023-12-08,1.048
4259.T,2023-02-17,1.087
4259.T,2024-08-05,1.364
4259.T,2025-04-03,1.041
4259.T,2025-11-14,1.032
4263.T,2025-04-07,1.338
4261.T,2023-09-14,1.005
4275.T,2025-07-17,1.005
4288.T,2024-10-21,1.456
4310.T,2024-08-02,1.047
4323.T,2023-10-30,1.019
4331.T,2021-12-02,1.025
4334.T,2022-01-27,1.026
4334.T,2022-09-07,1.014
4344.T,2022-03-09,1.151
4344.T,2024-02-14,1.007
4366.T,2025-11-14,1.034
4368.T,2025-08-05,1.047
4374.T,2025-04-07,1.115
4377.T,2025-04-07,1.081
4382.T,2022-12-12,1.164
4390.T,2025-04-07,1.094
4392.T,2025-10-29,1.949
4392.T,2026-05-12,1.955
4396.T,2025-04-07,1.038
4397.T,2022-12-26,1.057
4395.T,2022-01-25,1.097
4395.T,2022-08-03,1.054
4395.T,2023-05-16,1.047
4393.T,2021-09-22,1.05
4393.T,2022-04-19,1.505
4393.T,2022-10-25,1.213
4393.T,2024-10-22,1.291
4412.T,2025-07-02,1.061
4414.T,2023-10-19,1.11
4413.T,2023-01-04,1.074
4416.T,2025-04-07,1.155
4418.T,2024-08-05,1.139
4418.T,2025-04-07,1.038
4419.T,2025-04-09,1.058
4425.T,2023-09-05,1.036
4425.T,2025-08-07,1.049
4422.T,2022-10-13,1.009
4422.T,2026-01-13,2.168
4434.T,2023-04-19,1.02
4431.T,2022-06-08,1.006
4431.T,2024-08-05,1.003
4432.T,2022-05-12,1.016
